NOME,SALA ATRIBUÍDA,Sexo
Gabriel Almeida,KINDER,Masculino
Henrique Rocha,KINDER,Masculino
Nicolas Oliveira,MATERNAL,Masculino
Fernanda Ribeiro,KINDER,Feminino
André Rocha,KINDER,Masculino
Ursula Oliveira,JUNIORES (7-11),Feminino
Igor Moraes,KINDER,Masculino
Vanessa Souza,JUNIORES (7-11),Feminino
Kevin Oliveira,MONITORES,Masculino
Sílvia Costa,JUNIORES (7-11),Feminino
Camila Barbosa,MONITORES,Feminino
Eduardo Santos,KINDER,Masculino
Beatriz Teixeira,MONITORES,Feminino
Beatriz Araújo,MATERNAL,Feminino
Daniela Rocha,KINDER,Feminino
Raquel Rocha,MONITORES,Feminino
Eduarda Rocha,JUNIORES (7-11),Feminino
Eduarda Mendes,KINDER,Feminino
André Lima,MONITORES,Masculino
Felipe Silva,MATERNAL,Masculino
Mariana Gomes,MONITORES,Feminino
Ana Moraes,KINDER,Feminino
Eduarda Silva,JUNIORES (7-11),Feminino
Beatriz Pereira,KINDER,Feminino
Natália Gomes,KINDER,Feminino
André Rodrigues,MONITORES,Masculino
Eduarda Ferreira,MONITORES,Feminino
Tiago Almeida,MATERNAL,Masculino
João Costa,MATERNAL,Masculino
Daniel Mendes,JUNIORES (7-11),Masculino
Eduardo Rocha,KINDER,Masculino
Beatriz Lima,JUNIORES (7-11),Feminino
Eduardo Gomes,JUNIORES (7-11),Masculino
Beatriz Freitas,JUNIORES (7-11),Feminino
Camila Rocha,JUNIORES (7-11),Feminino
Vitor Mendes,MATERNAL,Masculino
Patrícia Barbosa,MONITORES,Feminino
Ana Freitas,KINDER,Feminino
Daniela Moraes,MATERNAL,Feminino
Samuel Rodrigues,KINDER,Masculino
João Silva,JUNIORES (7-11),Masculino
Helena Almeida,KINDER,Feminino
Natália Pereira,JUNIORES (7-11),Feminino
Larissa Rodrigues,MATERNAL,Feminino
Igor Rocha,JUNIORES (7-11),Masculino
Tiago Costa,MATERNAL,Masculino
Helena Ferreira,MONITORES,Feminino
Sílvia Silva,MONITORES,Feminino
Mateus Silva,JUNIORES (7-11),Masculino
Camila Oliveira,MATERNAL,Feminino
Marcos Oliveira,MATERNAL,Masculino
Luciana Oliveira,MATERNAL,Feminino
Pedro Silva,KINDER,Masculino
Maria Silva,KINDER,Feminino
